source_id	kind	resolved_path	exists	file_count	size_bytes	mtime_utc	sha256	record_count	columns	validation_status	validation_message
aim2_family_evaluation	file	/array1/xinpeng/aim2_1_compare_cazy_dbcan/scores/jgi_fungi/jgi_fungi_hmm_evaluation.tsv	true	1	64844	2026-07-20T01:33:22.193361Z	e2a23e6ce655d3a8f28997d26e57e69c8873fc757da5b70fdc386ced900a4ad5	511	"[""family"", ""n_true"", ""recall_default"", ""recall_hi"", ""precision_default"", ""precision_hi"", ""health"", ""auprc"", ""verdict"", ""priority"", ""hmm_len"", ""seed_source"", ""rec_bit_cutoff"", ""rec_cov_cutoff"", ""heldout_recall_default"", ""heldout_precision_default"", ""heldout_F1_default"", ""heldout_recall_tuned"", ""heldout_precision_tuned"", ""heldout_F1_tuned"", ""heldout_F1_gain"", ""generalizes""]"	ok	
aim2_hits	file	/array1/xinpeng/aim2_1_compare_cazy_dbcan/scores/jgi_fungi/hits.tsv	true	1	108819200	2026-07-20T00:55:18.395346Z	f08b8cd0e2a67742ec04205fc9105a6c255a6758e56d5664ab94b16c6965762d	1630839	"[""family"", ""protein_id"", ""genome"", ""i_evalue"", ""coverage"", ""bitscore"", ""neg_log10_evalue"", ""label"", ""taxon""]"	ok	
aim2_genome_support	file	/array1/xinpeng/aim2_1_compare_cazy_dbcan/scores/jgi_fungi/genome_support.tsv	true	1	2072941	2026-07-20T00:55:18.583349Z	9e1834daf701375eb545e5445a1d6e425aa5497f0dabf3bb78cfc4c86c7cd505	134469	"[""family"", ""genome"", ""n_true""]"	ok	
aim2_protein_comparison	file	/array1/xinpeng/aim2_1_compare_cazy_dbcan/compare_results/new_results_no_subfam/compare_no-subfam.tsv	true	1	51846420	2025-11-24T22:46:00.051786Z	40d30ed74dcb8987cc728975255ffae6f387bbc483b7990afc3cd81d04e06b42	1980141	"[""protein_id"", ""genome"", ""cazy_annotation"", ""dbcan_annotation"", ""result""]"	ok	
aim2_protein_domain	file	/array1/xinpeng/aim2_1_compare_cazy_dbcan/compare_results/new_results_no_subfam/protein_domain.result_no-subfam.tsv	true	1	42880742	2025-11-24T22:46:00.697803Z	b9c0718b54e2f05d44da5667e7b4c03b70d4def03895310af0d86fd722465ee5	578184	"[""protein_id"", ""genome"", ""cazy_annotation"", ""dbcan_annotation"", ""match_result"", ""cazy_domain_count"", ""dbcan_domain_count"", ""matched_count"", ""precision"", ""recall"", ""f1"", ""multiset_jaccard""]"	ok	
aim2_overcall_assessment	file	/array1/xinpeng/aim2_1_compare_cazy_dbcan/results/overcall_assessment.tsv	true	1	50651	2026-07-20T01:31:50.783839Z	13f94aebdd9fa642c382b6b885be9f2fd4e5ff4afe3a42924676843fa26cd869	536	"[""family"", ""verdict"", ""TP"", ""FP"", ""raw_precision"", ""corrected_precision_lo"", ""corrected_precision_hi"", ""diamond_corrob_frac"", ""sub_corrob_frac"", ""overcall_flag"", ""seed"", ""seed_breadth_class"", ""is_cog_seeded""]"	ok	
aim2_dbcan_results	directory	/array1/xinpeng/aim2_1_compare_cazy_dbcan/JGI_sequence_dbCAN	true	1198	63115778	2026-07-10T02:19:26.113405Z	45917e2cd22f7af640f0d6e26feba5a2be8fc71eb2110fc2d37d752094891768		[]	ok	
aim2_proteomes	directory	/array1/xinpeng/aim2_1_compare_cazy_dbcan/JGI_sequence	true	1198	7635657291	2025-09-30T20:23:27.427243Z	ed583a68dcc43834ac935f0b5ff584ffb7c9dafb90c4b6069f0e7adab014ec3c		[]	ok	
cazy_fungi_2024	file	/array1/xinpeng/fungi-cazyme-project/CAZyDB.07142024.fungi.faa	true	1	280933547	2026-07-07T20:42:23.255384Z	384281e0e951a78a2434c28f0304f54deaaffbe9c4e2c0ab1cd5bf5ab9b5c4f7	457694	[]	ok	
cazy_fungi_2025	file	/array1/xinpeng/fungi-cazyme-project/CAZyDB.07242025.fungi.faa	true	1	323788780	2026-07-07T20:42:32.471580Z	387bdb42df318e811a1a1388d4a7fa24fbd4869e5f7d1015e4193471dd92ac7e	524926	[]	ok	
cazy_metadata_20260529	file	/array1/xinpeng/fungi-cazyme-project/cazy_data_20260529.txt	true	1	367906773	2026-05-29T16:28:44Z	6a12cbe548bb394d47dde3c80ded6237133a920866a11487819abb6209675f3a	6006576	[]	ok	
dbcan_hmm_2024	file	/array1/xinpeng/dbcan_db_2024/dbCAN.hmm	true	1	120387507	2026-07-08T22:57:14.213269Z	315703811f8a05a904795d9675be605cf70c6e8246b6c3fc5ceeac5fcfa53f9f	826	[]	ok	
dbcan_hmm_current	file	/array1/xinpeng/dbcan_db/dbCAN.hmm	true	1	129842960	2026-07-07T22:05:45.894993Z	396c791fb13defab152864d8046687ef03b492937ec6f9bbab008bc77cbaa7a5	875	[]	ok	
dbcan_msa_2024	directory	/array1/xinpeng/dbcan4-advanced/hmm2024/msa	true	223	192014898	2026-07-07T23:25:16.887332Z	ba26cd29fffbad78c2532adc4449a3d4c14d112bf17b6b5f53ba15153bd77953		[]	ok	
family_substrate_current	file	/array1/xinpeng/dbcan_db/fam-substrate-mapping.tsv	true	1	93338	2026-07-07T22:08:21.289890Z	7e3ccd9572506c85c27d48c1b63277e6c42292c6dd5c621d402e838217c33924	1023	"[""Substrate_high_level"", ""Substrate_curated"", ""Family"", ""Name"", ""EC_Number""]"	ok	
family_info_2024	file	/array1/xinpeng/fam-info-08-14-24.txt	true	1	113360	2026-07-10T19:29:49.795420Z	f6635b8659fc34a66ffe751b659a25168bc2803c9ebe2268dacd5ff0ce592d41	533	"[""Family"", ""models based upon"", ""cazy-note"", ""cazy-activities"", ""substrate""]"	ok	
mycocosm_metadata	file	/array1/xinpeng/fungi-cazyme-PLM/mycocosm_genome_metadata.csv	true	1	412353	2026-07-20T20:25:57.986687Z	89299f1edfb0ab39441cc14d683436a0aaf38aeee9e64d0518a0162b04e2fc89	3836	"[""##"", ""name"", ""portal"", ""NCBI Taxon"", ""assembly length"", ""#of genes"", ""is restricted"", ""is public"", ""is published"", ""is superseded"", ""superseded by"", ""publication(s)"", ""pubmed id(s)"", ""doi id(s)""]"	ok	
cazyme3d_sequences	file	/array1/xinpeng/cazyme3d/cazyme3d_id50_aa.faa	true	1	95876688	2026-07-09T05:18:53.111963Z	445bd970375cddad982a9f3e6115d279f565d621a90625901bd01540b6b29bda	178356	[]	ok	
